phenotype,genetic_variance,residual_variance,total_variance,heritability
Control_w_2,594219.1478006429,2175418.9966476304,2769638.1444482733,0.21454757510173392
Drought_w_2,350263.3918870356,3746359.166135378,4096622.558022414,0.0855005280389122
Control_w_3,5567835.066935984,15196814.339648627,20764649.406584613,0.2681400951161923
Drought_w_3,966236.1170198318,4932367.232817375,5898603.349837207,0.1638076099906766
Control_w_4,31485603.25271278,52551669.074463844,84037272.32717663,0.37466236564809013
Drought_w_4,861077.5551675402,9646859.596891208,10507937.152058749,0.0819454420698391
Control_w_5,79731126.21049999,118809010.93358198,198540137.14408195,0.4015869403406252
Drought_w_5,905816.665180304,11870166.071732234,12775982.736912537,0.07089996001350303
