trait,rGE,p_value,FishersZ,SE_Z,hypothetical_r,p_value_new
flower,0.7585772509025648,0,0.9928554192706106,0.058025885318565944,0.9,2.220446049250313e-16
w_2,0.39962785080888813,6.252776074688882e-13,0.42320597391131276,0.058025885318565944,0.9,0
w_3,0.6217451834696676,0,0.7278450179104081,0.058025885318565944,0.9,0
w_4,0.5046921941456171,0,0.5555821173908552,0.058025885318565944,0.9,0
w_5,0.4428291543233861,8.881784197001252e-16,0.47574461898086695,0.058025885318565944,0.9,0
shoot_w,0.42243410548385607,2.042810365310288e-14,0.45065115147419865,0.058025885318565944,0.9,0
root_w,0.3388518942292281,1.7044956557299429e-9,0.3527949261940633,0.058025885318565944,0.9,0
