Genotype,Control_flower,Drought_flower
DG_F3_004,-1.2292381288996557,-1.5668185303155646
DG_F3_007,-0.4093215037851452,-0.6634887813695461
DG_F3_008,0.41059512132936626,-1.3861525805263608
DG_F3_009,-0.7372881538309496,-1.0248206809479534
DG_F3_011,0.08262847128356142,-0.48282283158034267
DG_F3_013,-0.7372881538309496,-0.12149093200193546
DG_F3_015,2.3783950216041916,1.5045026161008976
DG_F3_017,1.066528421420974,2.769164264625323
DG_F3_019,-0.08135485373934082,0.6011728671548793
DG_F3_020,1.8864450465354845,1.6851685658901014
DG_F3_022,0.7385617713751698,0.2398409675764719
DG_F3_024,0.08262847128356142,0.2398409675764719
DG_F3_028,3.5262782967645068,1.504502616100897
DG_F3_032,2.3783950216041907,1.504502616100897
DG_F3_033,-1.8851714289912642,-0.8441547311587498
DG_F3_038,1.5584783964896802,0.9625047667332862
DG_F3_040,3.0343283216957992,2.769164264625323
DG_F3_042,1.2305117464438757,1.504502616100897
DG_F3_049,-1.8851714289912642,-1.9281504298939718
DG_F3_051,-1.2292381288996557,-0.8441547311587498
DG_F3_054,1.8864450465354845,1.3238366663116936
DG_F3_056,-1.5572047789454602,-1.2054866307371572
DG_F3_057,2.8703449966728973,0.9625047667332862
DG_F3_059,0.5745784463522677,1.14317071652249
DG_F3_063,-0.4093215037851452,-0.8441547311587498
DG_F3_066,-1.8851714289912642,-1.747484480104768
DG_F3_068,-0.5733048288080472,0.4205069173656756
DG_F3_069,1.5584783964896802,2.046500465468508
DG_F3_070,0.5745784463522677,0.2398409675764719
DG_F3_075,-0.5733048288080472,-0.48282283158034267
DG_F3_076,-0.5733048288080472,-1.0248206809479534
DG_F3_077,1.3944950714667779,0.4205069173656756
DG_F3_081,-1.2292381288996557,-0.8441547311587498
DG_F3_082,-1.2292381288996557,-1.2054866307371572
DG_F3_085,-0.5733048288080472,0.05917501778726821
DG_F3_088,-1.393221453922558,-1.5668185303155646
DG_F3_090,-1.2292381288996557,-0.3021568817911389
DG_F3_092,-1.0652548038767535,-0.3021568817911389
DG_F3_093,0.08262847128356142,0.6011728671548793
DG_F3_094,-0.5733048288080472,0.05917501778726821
DG_F3_095,0.08262847128356142,-0.3021568817911389
DG_F3_096,-0.24533817876224304,1.14317071652249
DG_F3_097,-0.5733048288080472,-0.3021568817911389
DG_F3_098,2.5423783466270935,-0.12149093200193546
DG_F3_099,-1.0652548038767535,-0.12149093200193546
DG_F3_101,0.41059512132936626,2.769164264625323
DG_F3_102,-0.08135485373934082,-0.12149093200193546
DG_F3_103,-0.24533817876224304,0.2398409675764719
DG_F3_106,-1.393221453922558,-0.12149093200193546
DG_F3_107,-1.721188103968362,-1.9281504298939718
DG_F3_115,-0.5733048288080472,-0.12149093200193509
DG_F3_118,-1.0652548038767535,-0.48282283158034267
DG_F3_119,0.5745784463522677,0.2398409675764719
DG_F3_120,2.2144116965812892,0.2398409675764719
DG_F3_121,0.24661179630646365,-0.3021568817911389
DG_F3_124,-1.0652548038767535,-1.2054866307371572
DG_F3_126,1.2305117464438757,0.4205069173656752
DG_F3_127,1.5584783964896802,0.2398409675764719
DG_F3_129,0.08262847128356142,-0.6634887813695461
DG_F3_131,1.066528421420974,2.046500465468508
DG_F3_132,2.5423783466270935,2.9498302144145265
DG_F3_133,1.066528421420974,1.14317071652249
DG_F3_136,1.2305117464438757,2.407832365046916
DG_F3_139,0.7385617713751698,2.046500465468508
DG_F3_145,1.066528421420974,-0.84415473115875
DG_F3_150,1.558478396489681,2.2271664152577118
DG_F3_152,0.5745784463522677,1.14317071652249
DG_F3_154,1.066528421420974,1.6851685658901006
DG_F3_157,-0.4093215037851452,-0.6634887813695461
DG_F3_159,-1.2292381288996557,-0.6634887813695461
DG_F3_163,-0.24533817876224304,0.05917501778726821
DG_F3_164,-0.24533817876224304,-0.12149093200193546
DG_F3_165,0.41059512132936554,1.3238366663116936
DG_F3_167,-1.721188103968362,-1.3861525805263608
DG_F3_175,-0.4093215037851452,-0.48282283158034267
DG_F3_179,-0.24533817876224304,-0.12149093200193509
DG_F3_180,0.08262847128356142,0.4205069173656756
DG_F3_185,1.3944950714667779,0.2398409675764719
DG_F3_190,1.066528421420974,2.407832365046916
DG_F3_194,1.5584783964896802,0.781838816944083
DG_F3_195,-0.7372881538309496,-0.8441547311587498
DG_F3_196,-1.393221453922558,-1.3861525805263608
DG_F3_200,0.24661179630646365,-0.6634887813695461
DG_F3_203,-1.2292381288996557,-1.5668185303155646
DG_F3_210,0.08262847128356142,1.14317071652249
DG_F3_212,-0.24533817876224304,-1.0248206809479534
DG_F3_214,-1.721188103968362,-1.747484480104768
DG_F3_218,0.08262847128356142,1.14317071652249
DG_F3_220,0.902545096398072,-0.3021568817911389
DG_F3_223,1.7224617215125824,3.3111621139929337
DG_F3_225,-1.2292381288996557,-1.5668185303155646
DG_F3_227,0.08262847128356142,-0.12149093200193546
DG_F3_230,-0.5733048288080472,0.6011728671548793
DG_F3_231,-1.393221453922558,-1.0248206809479534
DG_F3_232,-0.24533817876224304,-0.48282283158034267
DG_F3_236,1.5584783964896802,1.14317071652249
DG_F3_239,-1.8851714289912642,-1.747484480104768
DG_F3_241,-1.5572047789454602,-1.5668185303155646
DG_F3_245,0.08262847128356142,0.2398409675764719
DG_F3_246,0.902545096398072,1.8658345156793046
DG_F3_247,-2.049154754014167,-1.747484480104768
DG_F3_248,2.050428371558387,0.2398409675764719
DG_F3_249,-1.0652548038767535,-1.0248206809479534
DG_F3_250,3.0343283216957992,0.2398409675764719
DG_F3_255,-1.5572047789454602,-1.9281504298939718
DG_F3_257,-2.049154754014167,-1.9281504298939718
DG_F3_263,-1.8851714289912642,-1.3861525805263608
DG_F3_266,3.5262782967645068,-0.12149093200193509
DG_F3_269,0.24661179630646365,1.14317071652249
DG_F3_270,-1.0652548038767535,-0.8441547311587498
DG_F3_271,0.2466117963064633,0.6011728671548793
DG_F3_273,4.182211596856114,0.9625047667332862
DG_F3_274,-0.08135485373934082,-0.8441547311587498
DG_F3_276,-1.721188103968362,-1.2054866307371572
DG_F3_280,-0.7372881538309496,-0.48282283158034267
DG_F3_283,-0.24533817876224304,-0.6634887813695461
DG_F3_285,0.7385617713751698,0.781838816944083
DG_F3_286,-0.5733048288080472,-0.48282283158034267
DG_F3_287,1.2305117464438757,3.3111621139929337
DG_F3_292,-1.721188103968362,-0.84415473115875
DG_F3_293,-1.393221453922558,-1.5668185303155646
DG_F3_294,-2.049154754014167,-1.9281504298939718
DG_F3_297,-1.8851714289912642,-1.9281504298939718
DG_F3_298,-1.5572047789454602,-1.747484480104768
DG_F3_299,-2.049154754014167,-1.3861525805263608
DG_F3_300,-0.7372881538309496,-0.3021568817911389
DG_F3_302,-0.24533817876224304,0.2398409675764719
DG_F3_304,-0.7372881538309496,-0.3021568817911389
DG_F3_305,1.2305117464438757,0.4205069173656756
DG_F3_307,-0.9012714788538513,-0.6634887813695461
DG_F3_309,0.41059512132936626,0.4205069173656756
DG_F3_312,0.5745784463522677,0.9625047667332862
DG_F3_315,2.050428371558387,0.05917501778726821
DG_F3_316,0.08262847128356142,0.9625047667332862
DG_F3_317,-1.393221453922558,-1.3861525805263608
DG_F3_318,-1.8851714289912642,-0.8441547311587498
DG_F3_324,0.24661179630646365,0.9625047667332862
DG_F3_325,1.3944950714667779,1.8658345156793046
DG_F3_328,-0.7372881538309496,-1.3861525805263608
DG_F3_329,-1.0652548038767535,-0.8441547311587498
DG_F3_330,0.24661179630646365,0.05917501778726821
DG_F3_331,-1.5572047789454602,-1.5668185303155646
DG_F3_332,0.08262847128356142,-0.12149093200193546
DG_F3_333,0.08262847128356142,-0.48282283158034267
DG_F3_334,-1.0652548038767535,-0.48282283158034267
DG_F3_335,-0.9012714788538513,0.05917501778726821
DG_F3_336,-0.24533817876224304,0.2398409675764719
DG_F3_337,1.3944950714667779,0.9625047667332862
DG_F3_338,-0.4093215037851452,-0.3021568817911389
DG_F3_342,1.3944950714667779,1.14317071652249
DG_F3_344,-1.5333342866528612,-0.982980241042775
DG_F3_345,-0.7134176615383505,-0.8023142912535715
DG_F3_346,-0.5494343365154484,-0.26031644188596065
DG_F3_349,-1.0413843115841548,-1.3443121406211822
DG_F3_351,-1.205367636607057,-0.982980241042775
DG_F3_352,0.43446561362196445,0.2816814074816502
DG_F3_354,0.10649896357616037,0.6430133070600574
DG_F3_355,1.7463322138051811,1.7270090057952787
DG_F3_356,2.0742988638509856,3.3530025538981114
DG_F3_357,1.4183655637593775,-0.07965049209675694
DG_F3_360,0.7624322636677688,0.10101545769244655
DG_F3_363,0.9264155886906715,3.353002553898112
DG_F3_364,0.9264155886906708,-0.2603164418859608
DG_F3_365,-0.057484361446741856,-0.26031644188596065
DG_F3_366,0.27048228859906226,1.1850111564276684
DG_F3_367,1.090398913713573,-0.26031644188596065
DG_F3_368,-1.3693509616299588,-0.6216483414643678
DG_F3_369,-0.5494343365154484,0.10101545769244655
DG_F3_370,-1.0413843115841548,-0.8023142912535715
DG_F3_371,0.9264155886906708,0.8236792568492608
DG_F3_372,0.7624322636677688,1.3656771062168722
DG_F3_375,-0.057484361446741856,-0.8023142912535715
DG_F3_376,0.10649896357616037,0.823679256849261
DG_F3_377,-1.205367636607057,-1.3443121406211822
DG_F3_378,-1.5333342866528612,-1.3443121406211822
DG_F3_381,0.5984489386448666,-0.07965049209675694
DG_F3_384,-1.0413843115841548,-1.1636461908319784
DG_F3_385,-1.3693509616299588,-1.1636461908319784
DG_F3_386,-1.3693509616299588,-1.1636461908319784
DG_F3_387,-1.5333342866528612,-1.3443121406211822
DG_F3_388,1.5823488887822796,0.6430133070600574
DG_F3_389,1.9103155388280832,1.5463430560060754
DG_F3_402,0.43446561362196445,0.6430133070600574
DG_F3_403,0.7624322636677688,-0.4409823916751643
DG_F3_405,-0.5494343365154484,-0.26031644188596065
DG_F3_406,0.27048228859906226,0.10101545769244655
DG_F3_411,-0.5494343365154484,-0.982980241042775
DG_F3_412,0.27048228859906226,-0.982980241042775
DG_F3_415,-0.38545101149254624,-0.6216483414643678
DG_F3_418,-0.5494343365154484,-0.8023142912535715
DG_F3_426,0.9264155886906708,0.4623473572708538
DG_F3_430,-0.7134176615383505,-0.982980241042775
DG_F3_433,0.9264155886906708,0.2816814074816502
DG_F3_437,-1.0413843115841548,-0.2603164418859608
DG_F3_439,-0.7134176615383505,-1.1636461908319784
DG_F3_441,-1.0413843115841548,-0.6216483414643678
DG_F3_442,0.5984489386448666,-0.07965049209675694
DG_F3_443,-0.7134176615383505,-0.4409823916751643
DG_F3_444,-1.0413843115841548,-1.3443121406211822
DG_F3_448,0.7624322636677688,1.3656771062168722
DG_F3_449,-0.8774009865612525,-0.982980241042775
DG_F3_453,-1.205367636607057,-0.26031644188596065
DG_F3_456,-0.8774009865612525,-1.1636461908319784
DG_F3_458,1.7463322138051811,3.5336685036873154
DG_F3_459,-0.7134176615383505,-0.982980241042775
DG_F3_460,1.090398913713573,0.6430133070600574
DG_F3_461,-0.3854510114925461,-0.26031644188596065
DG_F3_462,-0.3854510114925461,-0.6216483414643678
DG_F3_463,1.090398913713573,0.823679256849261
DG_F3_464,0.7624322636677688,-0.2603164418859608
DG_F3_465,-0.7134176615383505,-0.26031644188596065
DG_F3_469,0.27048228859906226,-0.6216483414643678
DG_F3_473,2.40226551389679,2.2690068551628895
DG_F3_477,-1.5333342866528612,-1.3443121406211822
DG_F3_478,2.40226551389679,1.1850111564276684
DG_F3_479,0.10649896357616001,0.6430133070600574
DG_F3_482,-0.057484361446741856,0.2816814074816502
