Genotype,Control_w_2,Drought_w_2,Control_w_3,Drought_w_3,Control_w_4,Drought_w_4,Control_w_5,Drought_w_5
DG_F3_004,1076.7028323197987,-246.60394333181924,2638.9459321321683,-534.8666802274242,4961.7360235117085,-255.05875744175063,1124.007702503542,70.5521690960229
DG_F3_007,1097.7601890345838,157.6944903366458,1783.1111819954224,399.3646030098932,3629.341075338293,164.37914251241702,3758.505939034724,576.458746922478
DG_F3_008,-178.83830085350303,-380.38589728338405,-1618.9703324319964,-832.1173547253076,-5745.446931468674,-630.9578081695454,-13255.29018023545,-551.1797933964434
DG_F3_009,580.7830210449622,139.6081463829256,2268.474904557216,426.81333832114484,6898.461478340372,152.64865984132632,7263.395620662919,387.18924902718237
DG_F3_011,453.1633607542445,58.973967108137224,2791.9153211659886,632.4165066852651,7031.4774777267,556.7412570843122,11318.418997781957,656.4624704182298
DG_F3_013,-159.50908833258106,-170.29251104761556,-511.99526679689814,-472.103347953136,-161.8043664648506,-198.20631019082586,2008.9628324170021,45.66572811129089
DG_F3_015,2.160160562508759,-113.0536639135898,-522.7462843978498,-301.42207577128096,-2316.8793900084174,-181.6859034574703,-6143.099152471625,-69.66917728681635
DG_F3_017,0.10131574518134884,217.7991503756104,669.8264973225217,791.8987599338915,695.8194295306348,-147.55671993488562,-454.0000874479908,413.0824474786668
DG_F3_019,273.10931305868826,195.32255310901323,443.0164363911437,378.7012423946508,-311.09800826808214,609.9706720523391,-2452.2370343926273,556.5999648821048
DG_F3_020,-180.78984447111335,-82.64791374800069,-94.23473801802564,-461.6331421997046,231.6387735970849,-427.3121865634587,-530.9087803307393,-194.1293029623896
DG_F3_022,-468.0258594799842,-164.77739449005102,-1188.0974945762835,-305.52292174592714,-2464.7918293565617,106.86709219595988,-6831.182515285116,130.6285689187283
DG_F3_024,1007.6153411151085,112.38110209723837,3180.4314848606928,177.46783119980677,6973.907117168929,172.64502952855412,10309.919440118798,280.5094547955464
DG_F3_028,664.1566995759115,-7.3146508206932035,1033.7825673335628,533.7318138000777,776.7994495686872,565.9997897686559,765.5600272744871,606.0268020185227
DG_F3_032,417.4370284259085,9.810923542020781,1557.0973414263913,1025.7054427452344,4720.693291065473,1048.9151274286087,8064.542168778501,1252.0120884056626
DG_F3_033,2570.5061093111926,284.0097325907481,7265.641901864044,594.054222808682,16719.619133255845,865.1687952502965,23321.992017790122,809.174019827334
DG_F3_038,311.1611043061936,-84.94468788725531,700.6345629933419,-443.86222916866006,68.62879250027335,-301.9164812753715,-1946.220318253054,-190.96262594374713
DG_F3_040,367.82600963496037,58.73511605822243,761.0779387946619,-334.3089378685483,741.9610355660045,-201.06716944550755,1016.7543570042893,21.813213291468504
DG_F3_042,288.28172143403896,83.05967299856206,1498.1717898535294,377.55866458130504,2564.1644578433575,357.88484399362477,-882.595046348989,544.0773671117286
DG_F3_049,-682.5918829698983,-144.2144004464117,-2547.575067889493,-309.65763539009316,-7649.615092379474,-84.90085092891194,-16392.61853787146,37.396104175119696
DG_F3_051,-199.01701655585805,7.943544333683487,53.83490951204567,166.97844295295403,-23.891968314370583,527.0882098412108,2333.9756745092754,686.6946241955725
DG_F3_054,736.0576030566965,57.48439920171364,2584.686114024194,345.5002374792227,4414.366283797022,555.0235878662364,7399.784278584152,513.5179073154917
DG_F3_056,455.7664805429792,44.62384755870712,1617.1380186276374,409.27160163704843,3117.3846400975567,749.3281061907757,3790.9163927856725,525.6935754020794
DG_F3_057,-449.84209663547904,-163.3855390307393,-1657.630198446056,-184.63031384288675,-3821.9506043228616,22.26763369140939,-4960.799565810058,314.5600252990026
DG_F3_059,-372.6778512599701,131.3986240593062,-1179.0014596691133,563.7974132652852,-3473.8074052879165,249.15125387546405,-6248.966038883643,225.91254851821822
DG_F3_063,55.76024886348766,-122.71045204571386,-437.6916896120829,56.54082047083314,-2683.19081251026,120.89472304292812,-3516.0684925216897,146.2561949509096
DG_F3_066,438.5157147621108,245.05706115549702,2762.0881352674537,1244.8104435984071,6498.4830413029285,920.4940024921792,6915.84526838142,1196.105298885613
DG_F3_068,-226.56702523048833,201.11934602502015,52.40776240384622,464.3863385436305,118.03910095616921,802.1587077445022,1244.6933569654727,800.113832887483
DG_F3_069,21.569680042539723,58.91836945931202,-734.304166962562,560.7577846803031,-1078.2305335842505,129.95021558145757,-485.53694727853997,37.32694224324882
DG_F3_070,6.289413045946008,-31.366373174788144,167.38404355175624,189.8477472674794,1961.819654281559,6.2338379660034375,6444.545768115287,86.5151991080391
