Genotype,Replication,leaf_W1_Control,leaf_W1_Drought,leaf_W2_Control,leaf_W2_Drought,leaf_W3_Control,leaf_W3_Drought,leaf_W4_Control,leaf_W4_Drought,leaf_W5_Control,leaf_W5_Drought
DG_F3_088,1,0,0,2418.638646335116,2966.268205272734,7591.613823796289,8519.695615051516,15040.71317605764,12385.577230794244,29709.413981983525,18851.248335731398
DG_F3_090,1,0,0,3830.708190579409,5500.6097248959795,8367.74445941763,13766.224397867605,14617.101124036153,15348.363994448671,26594.628265242056,15283.720219526542
DG_F3_092,1,0,0,2954.2866634296047,4289.890718585227,8001.345829246864,10699.908330500606,14849.611566065316,15481.154061494422,26952.66494807926,21259.290703867136
DG_F3_093,1,0,0,6067.694088630901,5060.982043752863,14214.073266102296,9531.908350543474,23964.55560945742,13581.62108635033,31883.38175165924,16416.362202253968
DG_F3_094,1,0,0,7033.49972988741,5079.247116825666,18923.06814955885,13365.269243730867,32581.094061592335,19949.704089413925,53158.36693788838,26694.867461359438
DG_F3_095,1,0,0,9486.474219331434,6242.202147237996,24235.05206979595,14437.562603389008,35971.14053426743,13388.2049825645,51035.68131854554,22739.218394256775
DG_F3_096,1,0,0,5889.774297681539,8028.778515701968,16077.364062258359,19018.18149233623,25224.15762167332,26745.756951440402,34516.09947456842,29550.08568972446
DG_F3_097,1,0,0,4937.29870083489,4180.689679069705,14932.426394536153,11146.415087543239,28050.46853573091,16186.134196649984,37597.286567199146,19543.773128377466
DG_F3_098,1,0,0,6506.46299918621,3163.6786135996554,16889.066323992487,8324.054587109416,26823.434208230956,11413.9284597248,35809.30590990292,14104.201781404197
DG_F3_099,1,0,0,4447.35137306778,5617.011766401807,12317.526642829976,13907.014198649644,21903.266491574974,16942.966582472625,31360.324537281165,24475.918048443284
DG_F3_101,1,0,0,4079.2401225700937,3938.133260370335,8778.230508031274,9773.861886594595,12129.174812358635,13694.012408032953,15390.442973783645,17585.861865443898
DG_F3_102,1,0,0,4569.48757311114,4050.2909176425214,12665.02810687699,10347.40388153947,21024.01439121334,14922.840507702116,34291.825804685606,18861.53652541573
DG_F3_103,1,0,0,6886.758102873847,5768.506610296163,19117.74785705043,18535.142184199485,30391.815278659567,21536.259277605295,41301.170887629094,26479.045004031166
DG_F3_106,1,0,0,3539.27545246391,1928.0462264947446,7763.384004240863,5995.667818596855,14337.29189109685,9644.197180646966,22340.03334815187,12213.657312734696
DG_F3_107,1,0,0,3438.2786028378123,4130.169943465724,10597.641858724332,9434.678339684364,17200.332421405037,15597.782962433052,26008.669507929,18434.59658393772
DG_F3_115,1,0,0,5058.740838094718,4686.29462395753,12650.525322424548,8246.826248103796,22492.815746573775,12174.569843068415,29498.102052341048,16945.706884185067
DG_F3_118,1,0,0,4670.1886038437915,5154.062062550422,14288.818586800347,12801.499421709195,27902.288149536056,20704.60594398935,37898.57372558189,25244.761920360368
DG_F3_119,1,0,0,5653.046251196028,6048.978339638874,16031.183130252377,10826.972058881298,27235.57614978137,13146.229105720526,39849.738483303954,19760.690044675393
DG_F3_120,1,0,0,7511.669557687443,3934.127879489238,18055.803203720807,10361.276204700094,29267.646761194523,13758.493980676783,39696.58682546528,16253.908654364124
DG_F3_121,1,0,0,3973.6592342778267,4763.814645446588,9109.664367648913,10236.376267764519,14436.43400488041,12002.315493177066,18895.47349229251,15767.845385126468
DG_F3_124,1,0,0,9224.4115584746,5230.619906782957,25223.989679594044,11796.867695444347,45322.18072798056,12678.66878401341,72510.38080720938,20211.433320948483
DG_F3_126,1,0,0,4816.806768923577,5243.160820725089,13886.661483849497,13282.12455660729,24042.03974953237,18156.618885316777,41543.951276346415,28967.142339829024
DG_F3_127,1,0,0,4876.747422204852,3610.1306856173487,12162.242709124881,9224.052540316821,19758.853438157304,12914.692112044439,28883.6440450222,22398.027534214474
DG_F3_129,1,0,0,1865.3082217896176,1198.5792820534891,4759.219678186528,3194.2667493319923,8909.785333693855,4662.5979055150265,14283.19223640997,7738.847274848607
DG_F3_131,1,0,0,5217.952143434461,5858.393151881452,16210.917174233076,11994.91021628391,23678.881108855552,18724.01727141949,34773.9908214735,24478.25039356162
DG_F3_132,1,0,0,3349.1535241636407,4269.389102522746,11264.985702390106,11384.3732212512,20546.719992179766,15487.407369229062,33157.58631113881,24396.60781619123
