trait,rGE,p_value
flower,0.7585772509025662,0
w_2,0.39962785080888796,6.252776074688882e-13
w_3,0.6217451834696673,0
w_4,0.504692194145617,0
w_5,0.44282915432338593,8.881784197001252e-16
shoot_w,0.4224341054838563,2.042810365310288e-14
root_w,0.3388518942292282,1.7044956557299429e-9
