Genotype,shoot_w_Control,shoot_w_Drought,root_w_Control,root_w_Drought
DG_F3_004,0.30281599633720513,-0.028215040876006327,0.1524347450081916,0.0164262874947255
DG_F3_007,0.4026748631288447,0.10356226883234416,0.17075348199862223,0.03833397939784857
DG_F3_008,-0.5786967587890011,-0.09776417655541357,-0.03636250432509106,0.0015855929797067307
DG_F3_009,0.4990903207207744,0.03992480968568652,0.1820265509158105,0.007945890629000417
DG_F3_011,0.4233353183271157,0.07061794140525657,0.10734246933943926,-0.0019479057143453552
DG_F3_013,-0.012255945436419257,-0.028215040876006327,-0.003979086217793358,-0.013255101535312069
DG_F3_015,-0.32216277341047594,0.011135127995237094,-0.027934357666818118,-0.004774704669587105
DG_F3_017,0.0789943983559417,0.15389388017928352,-0.023706956822872438,-0.004068004930776633
DG_F3_019,-0.027751286835122187,0.07610866264310454,-0.027934357666817993,0.009359290106621404
DG_F3_020,-0.24812947561667312,-0.01723359840031033,-0.091345370326001,-0.02597569683389965
DG_F3_022,-0.4702293689980809,-0.029130161082314306,-0.10261843924318924,-0.012548401796501657
DG_F3_024,0.8692568096897871,0.08709010511880012,0.017157918001934475,-0.010922992397237742
DG_F3_028,0.3716841803314397,0.06970282119894838,0.09606940042225118,-0.004774704669587045
DG_F3_032,0.07727269375608582,0.10356226883234411,-0.008206487061738871,-0.013961801274122531
DG_F3_033,1.5476084220329986,0.06878770099264053,0.2341644946578055,-0.016788600229364216
DG_F3_038,-0.10350628922878058,-0.007167276130922644,0.03970405583631045,-0.014668501012932936
DG_F3_040,0.33552838373446686,0.017540969439393178,0.04674972390955336,0.008652590367810888
DG_F3_042,-0.05013344663324901,0.04682481604124885,-0.029343491281466443,-0.011135002318880855
DG_F3_049,-0.9023772235619042,-0.033705762113854294,-0.09980017201389213,0.005825791412569199
DG_F3_051,-0.029472991434978068,0.004729286551081276,0.0354766549923651,-0.004068004930776707
DG_F3_054,0.5817321415138552,0.045909695834940804,0.038294922221662,0.002998992457327583
DG_F3_056,0.05489053395795937,0.06970282119894838,-0.027934357666818118,0.002998992457327598
DG_F3_057,-0.29633720441263794,-0.019978959019234542,-0.049071361886545733,-0.012548401796501657
DG_F3_059,-0.28945038601321427,0.01022000778892938,-0.03779829296935764,0.01642628749472544
DG_F3_063,-0.20680856522013272,-0.049262805621090144,-0.05188962911584284,-0.0203220989234163
DG_F3_066,0.19951372034585263,0.0651272201674086,-0.018070422364278516,1.7219350208583448e-4
DG_F3_068,-0.14482719962532173,0.03492825335924493,-0.0490713618865459,-0.01749529996817456
DG_F3_069,-0.1431054950254651,-0.009912636749846594,-0.03638915935470915,-0.019615399184605822
DG_F3_070,0.1237587179521946,-0.046517445002165994,-0.02229782320822407,0.020666485927587984
DG_F3_075,-0.19303492842128567,-0.0190638388129265,-0.0857088358674072,0.02702678357688167
DG_F3_076,0.32347645153547566,-0.02455456005077439,0.06506846089998392,0.014306188278294163
DG_F3_077,0.2132873571446993,0.029437532121397034,0.04534059029490466,1.721935020859673e-4
DG_F3_081,-0.19647833762099742,-0.027299920669698344,0.06365932728533547,0.015719587755915105
DG_F3_082,-0.4598991413989458,0.001983925932157326,-0.0434348274279516,-5.345062367244884e-4
DG_F3_085,-1.0573306375489322,-0.0016765548930746756,-0.14066504683869904,-0.013255101535312135
DG_F3_088,-1.0624957513484996,-0.17829475471051648,-0.12516457707756545,-0.024562297356278774
DG_F3_090,-0.09834117542921259,-0.033705762113854294,0.017157918001934475,0.02207988540520879
DG_F3_092,-0.5511494851913068,-0.02180919943185024,-0.03498002574006053,0.03056028227093389
DG_F3_093,-0.6200176691855415,-0.11789682109418914,-0.05470789634513965,-5.345062367245474e-4
DG_F3_094,-0.459899141398946,0.026692171502472942,-0.04625309465724875,0.005825791412569199
DG_F3_095,-0.28945038601321427,-0.04743256520847418,0.0030665818554492636,0.007945890629000417
DG_F3_096,0.3045377009370607,-0.037366242939086296,-0.022297823208223946,1.721935020859083e-4
DG_F3_097,-0.11555822142777175,-0.033705762113854294,0.0030665818554492636,-0.035869493177245484
DG_F3_098,0.4749864563227917,-0.07031057036617397,-0.005388219832441889,-0.01113500231888079
DG_F3_099,-0.23263413421797055,0.04682481604124885,-0.05048049550119434,0.006532491151379595
DG_F3_101,-0.32560618261018776,-0.017233598400310395,-0.05752616357443676,-0.006188104147207971
DG_F3_102,-0.09834117542921295,-0.02455456005077439,-0.003979086217793274,0.012892788800673413
DG_F3_103,0.4302221367265396,0.0578062585169448,0.029840120533770977,0.01077268958424215
DG_F3_106,-0.4289084586015399,-0.055668647065245894,-0.04202569381330332,-0.006894803886018308
DG_F3_107,-1.1055383663448963,-0.03828136314539408,-0.13502851238010524,0.0037056921961379943
DG_F3_115,-0.008812536236707497,0.03767361397816881,-0.011024754291035813,0.014306188278294236
DG_F3_118,0.011847918961562709,-0.00991263674984646,0.15948041308143412,0.01006598984543168
DG_F3_119,-0.05529856043281592,0.06329697975479243,0.03688578860701356,0.0058257914125692725
DG_F3_120,0.20295712954556439,0.049570176660172736,0.09888766765154816,-0.0012412059755349588
DG_F3_121,-0.7405369911754524,-0.03553600252647026,-0.05329876273049121,0.007239190890190065
DG_F3_124,1.1154605674691755,0.023946810883549132,0.13129774078846404,0.00511909167375886
DG_F3_126,0.8692568096897868,0.09898666780080406,0.0495679911388501,0.020666485927587984
DG_F3_127,0.17368815134801477,-0.08678273407971764,0.09325113319295393,-0.0033613051919661775
DG_F3_129,-1.0349484777508058,-0.1078304988248013,-0.1448924476826446,-0.026682396572710036
DG_F3_131,0.28215554113893454,0.13559147605312366,0.1270703399445185,1.721935020859673e-4
DG_F3_132,-0.05874196963252804,0.07061794140525657,-0.011165667652500577,0.0058257914125692725
DG_F3_133,-0.5167153931941889,0.001983925932157326,-0.06034443080373387,0.005825791412569139
DG_F3_136,-0.09145435702978942,0.030352652327705214,0.05520452559744431,-0.006188104147207898
DG_F3_139,0.056612238557815615,0.09532618697557232,0.035476654992365145,-0.004774704669587045
DG_F3_145,0.8124405578945427,0.0166258492330852,0.07634152981717209,8.788932408962458e-4
DG_F3_150,-0.6716688071812177,0.02120145026462498,-0.11670977538967456,-0.018201999706984964
DG_F3_152,0.4887600931216387,0.09990178800711216,0.08056893066111769,-0.003361305191966296
DG_F3_154,0.13064553635161777,0.059636498929560765,-0.06316269803303098,-0.013255101535312069
DG_F3_157,0.28215554113893454,0.10630762945126826,0.1284794735591668,0.03126698200974428
DG_F3_159,-0.09145435702978942,0.1145437113080399,-0.018070422364278516,0.007945890629000462
DG_F3_163,0.16335792374887914,-0.03096040149493021,0.04534059029490466,-0.0019479057143453552
DG_F3_164,0.04972542015839172,0.09532618697557213,0.012930517157988907,0.029146882793313022
DG_F3_165,0.256329972141096,0.09532618697557226,0.04111318945095915,0.03621388018141724
DG_F3_167,1.0887913632174084,0.10356226883234416,0.07915979704646899,0.0015855929797067752
DG_F3_175,0.1909051973465736,0.06146673934217653,-0.03920742658400596,0.010772689584242092
DG_F3_179,0.05661223855781525,-0.023639439844466342,0.031249254148419673,-0.004774704669587105
DG_F3_180,-0.2963372044126376,0.027607291708780998,-0.003979086217793316,0.01077268958424215
DG_F3_185,0.4164484999276921,0.02669217150247308,0.05943192644138974,-0.008308203363639181
DG_F3_190,-0.26190311241552056,0.05506089789802077,-0.00397908621779315,-0.009014903102449586
DG_F3_194,0.06522076155709502,0.0010688057258494094,0.011521383543340459,0.0037056921961379943
DG_F3_195,-0.7353718773758847,-0.06573496933463378,-0.05188962911584271,1.7219350208584925e-4
DG_F3_196,-0.4185782310024048,-0.061159368303094,0.02138531884588003,0.0015855929797067307
DG_F3_200,-0.7422586957753083,0.025777051296165168,-0.1336193787654566,-0.0026546054531558253
DG_F3_203,-0.15687913182431254,-0.02089407922554239,0.05238625836814708,0.007239190890190065
DG_F3_210,0.2821555411389338,0.029437532121397096,-0.03920742658400634,-0.0012412059755349588
DG_F3_212,-0.4202999356022607,-0.09593393614279751,-0.07443576695021895,-0.0217354984010371
DG_F3_214,0.20123542494570926,-0.04834768541478209,0.05661365921209268,0.007945890629000476
DG_F3_218,-0.3720922068062962,0.043164335216016786,-0.06457183164767931,0.0029989924573275237
DG_F3_220,0.640270097908956,-0.013573117575078529,0.058022792826741124,-0.004068004930776633
DG_F3_223,-0.7095463083780467,0.01937120985200921,-0.08711796948205565,-0.0033613051919663107
DG_F3_225,-1.010844613352824,-0.15267138893389293,-0.1350285123801051,-0.012548401796501657
DG_F3_227,0.027343260360265634,0.023946810883548993,-0.04766222827189728,0.0037056921961379943
DG_F3_230,-0.6114091461862622,-0.0739710511914058,-0.0504804955011941,-0.02385559761746831
DG_F3_231,-0.4134131172028372,-0.10142465738064542,-0.03638915935470915,-0.013255101535312069
