Genotype,shoot_w_Control,shoot_w_Drought,root_w_Control,root_w_Drought
DG_F3_004,0.09661542177039201,-0.011256883741283495,0.0893026888778516,0.007929109972081924
DG_F3_007,0.10190472868969325,0.04885667937224377,0.09683915641240289,0.023350680905702848
DG_F3_008,-0.13712838473125877,-0.04831615302946028,-0.02358246272067097,7.521500486840552e-4
DG_F3_009,0.12201470231315921,0.019075978377691906,0.09321385693492207,0.005357294130118858
DG_F3_011,0.12324529703427337,0.03250841968248846,0.06427994826018373,-0.001092689682958397
DG_F3_013,0.014338658344278951,-0.019920998354090804,0.0024707604867012876,-0.008322910089479836
DG_F3_015,-0.05545723848070192,0.0033867373226891162,-0.014069321361865462,-0.002644884365988794
DG_F3_017,0.051167503573974135,0.06045247169329194,-0.008793754006192782,-0.0024114052774131395
DG_F3_019,0.0032323278694166343,0.0319124860198242,-0.012256322705505496,0.006425069907091856
DG_F3_020,-0.025282995216379327,-0.0022829425522181085,-0.05347163736515688,-0.017561217498704713
DG_F3_022,-0.08976606540136196,-0.011012666358621357,-0.06145950932152044,-0.0080343848707135
DG_F3_024,0.20245434193841558,0.039767990933224216,0.01436556573128459,-0.006787860374124368
DG_F3_028,0.0717485455576253,0.02876330437079002,0.052162562369098636,-0.0028677932658511805
DG_F3_032,0.04916690333102244,0.0392165530865221,7.703936979852164e-4,-0.00889586184531166
DG_F3_033,0.2662296504231791,0.025268603603489863,0.122926312202501,-0.010638900895846645
DG_F3_038,-0.008689437863726836,-0.0013287116766207288,0.028091633577414534,-0.009266984955863191
DG_F3_040,0.053620277194008345,0.005685329121183561,0.02831165082267715,0.005498841857595927
DG_F3_042,0.01152401264852398,0.01186449277795985,-0.013687282177941806,-0.006797547106775911
DG_F3_049,-0.23861721211491516,-0.015551304557819463,-0.059002378452439594,0.0037464464730421142
DG_F3_051,0.0074802197975077775,0.002830579591942623,0.021446362345431187,-0.0022189325708044257
DG_F3_054,0.13028326137135335,0.02312302975442157,0.026823040062140178,0.0021065112402169697
DG_F3_056,0.05167471145941383,0.028641663672333114,-0.010539245522732691,0.002403043366266832
DG_F3_057,-0.058131082098815415,-0.004529823040921226,-0.029055624477607733,-0.008608789709646177
DG_F3_059,-0.045190392934183435,0.0045925383857106,-0.018898520590011257,0.009495650949366533
DG_F3_063,-0.07117654445726485,-0.030091807254185015,-0.031050531132729507,-0.01319906030340538
DG_F3_066,0.08422484846780316,0.02740449680107936,-0.004712186321736016,5.11399477084123e-4
DG_F3_068,-0.022767519391486604,0.011188260876742618,-0.025499591154572305,-0.011101410062750078
DG_F3_069,0.004772063247880315,-0.005675513675399168,-0.018223176055567437,-0.012695340965430756
DG_F3_070,0.019892647451670773,-0.016596510375382935,-0.01000463994153867,0.012152952922219342
DG_F3_075,-0.005600107649834248,-0.006602804528794497,-0.04947369982317636,0.017064711111420314
DG_F3_076,0.0780807432554271,-0.0063048900827690265,0.04298136307412315,0.009438183431244031
DG_F3_077,0.08945194363816712,0.016219284152876483,0.029924055008874295,4.96600583077848e-4
DG_F3_081,-0.030970139996348837,-0.007586885921929768,0.03484609479986163,0.010081358538123175
DG_F3_082,-0.10067243537688078,8.215618585186499e-5,-0.022377905283033055,-6.084143743616924e-4
DG_F3_085,-0.31803121867034556,-0.002472042147109288,-0.08917164547376992,-0.008322910089479864
DG_F3_088,-0.3473249202515953,-0.09086598672757569,-0.08380842356110216,-0.016002340087060064
DG_F3_090,-0.029512492992351508,-0.00993397388200039,0.01033279227087896,0.013983217813360097
DG_F3_092,-0.1543629695681994,-0.0069284874018244015,-0.0234171340974187,0.01852491012893318
