Genotype,Control_shoot_w,Drought_shoot_w,Control_root_w,Drought_root_w
DG_F3_004,0.3028163057195195,-0.028214981870505938,0.15243303742947517,0.01642625809681471
DG_F3_007,0.40267527558832045,0.10356204309436451,0.17075156940271533,0.038333910534002744
DG_F3_008,-0.5786973593292118,-0.09776396726863212,-0.036362030961662684,0.0015855903167841733
DG_F3_009,0.499090832703026,0.03992472145507914,0.18202451215547866,0.007945876508225752
DG_F3_011,0.42333575211290025,0.07061778685314701,0.1073412664184226,-0.0019479020117945036
DG_F3_013,-0.01225596128031995,-0.02821498187050587,-0.003979043265113858,-0.013255077463246364
DG_F3_015,-0.32216310914901436,0.011135101973170641,-0.027934046614735537,-0.00477469587465754
DG_F3_017,0.07899447670324021,0.1538935456851137,-0.02370669308244926,-0.0040679974089417505
DG_F3_019,-0.027751318673754743,0.0761084962266832,-0.027934046614735454,0.009359273439657404
DG_F3_020,-0.2481297349359372,-0.017233563123433257,-0.0913443495990282,-0.025975649846129715
DG_F3_022,-0.4702298575751684,-0.029130100099428596,-0.10261729235179148,-0.012548378997530633
DG_F3_024,0.8692577037684108,0.08708991497375555,0.017157724396317277,-0.010922972526384458
DG_F3_028,0.3716845608014516,0.06970266862422408,0.09606832366565943,-0.004774695874657466
DG_F3_032,0.07727277032619162,0.10356204309436444,-0.008206396797399929,-0.013961775928962137
DG_F3_033,1.547610016325441,0.06878755039530142,0.23416187238700834,-0.01678856979182511
DG_F3_038,-0.10350639926388049,-0.007167262605283632,0.03970360990184339,-0.014668474394677875
DG_F3_040,0.335528726883437,0.017540929575629704,0.046749199122320756,0.008652574973941557
DG_F3_042,-0.05013350157538282,0.04682471290115646,-0.029343164458830808,-0.011134982066099182
DG_F3_049,-0.902378158214292,-0.033705691244042144,-0.09979905666360064,0.005825781111078594
DG_F3_051,-0.029473025050802973,0.004729274370711641,0.0354762563695574,-0.0040679974089418095
DG_F3_054,0.5817327388013439,0.04590959467223374,0.038294492057748035,0.002998987248215691
DG_F3_056,0.05489058742456391,0.06970266862422408,-0.027934046614735537,0.002998987248215691
DG_F3_057,-0.29633751349329,-0.019978917810201627,-0.04907081427616646,-0.012548378997530633
DG_F3_059,-0.2894506879850967,0.01021998374424805,-0.037797871523403234,0.016426258096814653
DG_F3_063,-0.20680878188677787,-0.04926270113572838,-0.05188904996435731,-0.020322062120403786
DG_F3_066,0.199513923096621,0.06512707747961073,-0.018070221706067754,1.7219338535266957e-4
DG_F3_068,-0.14482735231303945,0.03492817592516118,-0.049070814276166594,-0.017495268257540764
DG_F3_069,-0.14310564593599084,-0.009912617292051736,-0.03638875367930788,-0.019615363654688
DG_F3_070,0.12375884250649599,-0.04651734644896001,-0.02229757523835399,0.02066644889110913
