Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0000224	0	22	1	23
OG0000225	0	16	7	23
OG0000226	0	4	19	23
OG0000227	0	11	12	23
OG0000228	0	4	19	23
OG0000229	0	11	12	23
OG0000230	0	0	23	23
OG0000231	0	0	23	23
OG0000232	0	0	23	23
OG0000233	0	0	23	23
OG0000234	22	0	0	22
OG0000235	1	17	4	22
OG0000236	2	10	10	22
OG0000237	2	2	18	22
OG0000238	22	0	0	22
OG0000239	2	6	14	22
OG0000240	1	11	10	22
OG0000241	0	3	19	22
OG0000242	0	22	0	22
OG0000243	0	10	12	22
OG0000244	0	11	11	22
OG0000245	0	2	20	22
OG0000246	21	0	0	21
OG0000247	21	0	0	21
OG0000248	21	0	0	21
OG0000249	1	11	9	21
OG0000250	18	2	1	21
OG0000251	21	0	0	21
OG0000252	1	18	2	21
OG0000253	1	8	12	21
OG0000254	1	8	12	21
OG0000255	1	11	9	21
OG0000256	0	3	18	21
OG0000257	0	21	0	21
OG0000258	0	20	1	21
OG0000259	0	19	2	21
OG0000260	0	8	13	21
OG0000261	0	21	0	21
OG0000262	0	3	18	21
OG0000263	0	1	20	21
OG0000264	0	5	16	21
OG0000265	0	0	21	21
OG0000266	0	0	21	21
OG0000267	0	0	21	21
OG0000268	2	10	8	20
OG0000269	20	0	0	20
OG0000270	18	2	0	20
OG0000271	20	0	0	20
OG0000272	6	8	6	20
OG0000273	2	14	4	20
OG0000274	3	8	9	20
OG0000275	0	11	9	20
OG0000276	0	3	17	20
OG0000277	0	5	15	20
OG0000278	0	20	0	20
OG0000279	0	18	2	20
OG0000280	0	6	14	20
OG0000281	0	16	4	20
OG0000282	0	12	8	20
OG0000283	0	9	11	20
OG0000284	0	10	10	20
OG0000285	0	1	19	20
OG0000286	0	5	15	20
OG0000287	0	2	18	20
OG0000288	0	3	17	20
OG0000289	0	1	19	20
OG0000290	0	16	4	20
OG0000291	0	0	20	20
OG0000292	0	0	20	20
OG0000293	6	7	6	19
OG0000294	3	9	7	19
OG0000295	19	0	0	19
OG0000296	9	5	5	19
OG0000297	19	0	0	19
OG0000298	18	1	0	19
OG0000299	9	5	5	19
OG0000300	5	7	7	19
OG0000301	2	6	11	19
OG0000302	1	4	14	19
OG0000303	0	19	0	19
OG0000304	0	19	0	19
OG0000305	0	14	5	19
OG0000306	0	12	7	19
OG0000307	0	4	15	19
OG0000308	0	4	15	19
OG0000309	0	4	15	19
OG0000310	0	7	12	19
OG0000311	0	19	0	19
OG0000312	0	17	2	19
OG0000313	0	3	16	19
OG0000314	0	2	17	19
OG0000315	0	3	16	19
OG0000316	0	4	15	19
OG0000317	0	4	15	19
OG0000318	0	1	18	19
OG0000319	0	0	19	19
OG0000320	2	7	9	18
OG0000321	18	0	0	18
OG0000322	5	5	8	18
OG0000323	8	5	5	18
OG0000324	1	7	10	18
OG0000325	6	5	7	18
OG0000326	6	6	6	18
OG0000327	18	0	0	18
