Orthogroup	Arabidopsis	Hap1_v1.5_protein_chr16	Hap1_v1.5_protein_chr8	Total
OG0006121	0	5	0	5
OG0006122	0	5	0	5
OG0006123	0	3	2	5
OG0006124	0	1	4	5
OG0006125	0	3	2	5
OG0006126	0	2	3	5
OG0006127	0	2	3	5
OG0006128	0	5	0	5
OG0006129	0	2	3	5
OG0006130	0	3	2	5
OG0006131	0	2	3	5
OG0006132	0	5	0	5
OG0006133	0	2	3	5
OG0006134	0	5	0	5
OG0006135	0	2	3	5
OG0006136	0	3	2	5
OG0006137	0	3	2	5
OG0006138	0	3	2	5
OG0006139	0	1	4	5
OG0006140	0	5	0	5
OG0006141	0	2	3	5
OG0006142	0	4	1	5
OG0006143	0	1	4	5
OG0006144	0	2	3	5
OG0006145	0	3	2	5
OG0006146	0	2	3	5
OG0006147	0	3	2	5
OG0006148	0	3	2	5
OG0006149	0	2	3	5
OG0006150	0	2	3	5
OG0006151	0	2	3	5
OG0006152	0	4	1	5
OG0006153	0	3	2	5
OG0006154	0	5	0	5
OG0006155	0	2	3	5
OG0006156	0	1	4	5
OG0006157	0	1	4	5
OG0006158	0	4	1	5
OG0006159	0	2	3	5
OG0006160	0	1	4	5
OG0006161	0	1	4	5
OG0006162	0	4	1	5
OG0006163	0	4	1	5
OG0006164	0	4	1	5
OG0006165	0	4	1	5
OG0006166	0	2	3	5
OG0006167	0	5	0	5
OG0006168	0	2	3	5
OG0006169	0	5	0	5
OG0006170	0	2	3	5
OG0006171	0	2	3	5
OG0006172	0	1	4	5
OG0006173	0	4	1	5
OG0006174	0	5	0	5
OG0006175	0	1	4	5
OG0006176	0	2	3	5
OG0006177	0	3	2	5
OG0006178	0	1	4	5
OG0006179	0	2	3	5
OG0006180	0	1	4	5
OG0006181	0	1	4	5
OG0006182	0	1	4	5
OG0006183	0	3	2	5
OG0006184	0	3	2	5
OG0006185	0	4	1	5
OG0006186	0	3	2	5
OG0006187	0	3	2	5
OG0006188	0	3	2	5
OG0006189	0	4	1	5
OG0006190	0	1	4	5
OG0006191	0	3	2	5
OG0006192	0	3	2	5
OG0006193	0	4	1	5
OG0006194	0	3	2	5
OG0006195	0	5	0	5
OG0006196	0	2	3	5
OG0006197	0	4	1	5
OG0006198	0	1	4	5
OG0006199	0	4	1	5
OG0006200	0	4	1	5
OG0006201	0	4	1	5
OG0006202	0	5	0	5
OG0006203	0	3	2	5
OG0006204	0	4	1	5
OG0006205	0	4	1	5
OG0006206	0	4	1	5
OG0006207	0	1	4	5
OG0006208	0	1	4	5
OG0006209	0	4	1	5
OG0006210	0	5	0	5
OG0006211	0	3	2	5
OG0006212	0	5	0	5
OG0006213	0	1	4	5
OG0006214	0	2	3	5
OG0006215	0	3	2	5
OG0006216	0	3	2	5
OG0006217	0	5	0	5
OG0006218	0	1	4	5
OG0006219	0	3	2	5
OG0006220	0	3	2	5
OG0006221	0	5	0	5
OG0006222	0	3	2	5
OG0006223	0	5	0	5
OG0006224	0	2	3	5
OG0006225	0	5	0	5
OG0006226	0	3	2	5
OG0006227	0	2	3	5
OG0006228	0	3	2	5
OG0006229	0	4	1	5
OG0006230	0	3	2	5
OG0006231	0	1	4	5
OG0006232	0	4	1	5
OG0006233	0	4	1	5
OG0006234	0	4	1	5
OG0006235	0	2	3	5
OG0006236	0	3	2	5
OG0006237	0	3	2	5
OG0006238	0	2	3	5
OG0006239	0	5	0	5
OG0006240	0	4	1	5
OG0006241	0	4	1	5
OG0006242	0	4	1	5
OG0006243	0	2	3	5
OG0006244	0	2	3	5
OG0006245	0	4	1	5
OG0006246	0	3	2	5
OG0006247	0	4	1	5
OG0006248	0	4	1	5
OG0006249	0	5	0	5
OG0006250	0	4	1	5
OG0006251	0	4	1	5
OG0006252	0	2	3	5
OG0006253	0	2	3	5
OG0006254	0	1	4	5
OG0006255	0	4	1	5
OG0006256	0	4	1	5
OG0006257	0	5	0	5
OG0006258	0	3	2	5
OG0006259	0	1	4	5
OG0006260	0	2	3	5
OG0006261	0	5	0	5
OG0006262	0	2	3	5
OG0006263	0	1	4	5
OG0006264	0	4	1	5
OG0006265	0	3	2	5
OG0006266	0	5	0	5
OG0006267	0	4	1	5
OG0006268	0	5	0	5
OG0006269	0	3	2	5
OG0006270	0	2	3	5
OG0006271	0	2	3	5
OG0006272	0	1	4	5
OG0006273	0	1	4	5
OG0006274	0	2	3	5
OG0006275	0	5	0	5
OG0006276	0	5	0	5
OG0006277	0	5	0	5
OG0006278	0	2	3	5
OG0006279	0	2	3	5
OG0006280	0	4	1	5
OG0006281	0	3	2	5
OG0006282	0	4	1	5
OG0006283	0	2	3	5
OG0006284	0	1	4	5
OG0006285	0	1	4	5
OG0006286	0	1	4	5
OG0006287	0	3	2	5
OG0006288	0	2	3	5
OG0006289	0	1	4	5
OG0006290	0	4	1	5
OG0006291	0	4	1	5
OG0006292	0	3	2	5
OG0006293	0	3	2	5
OG0006294	0	1	4	5
OG0006295	0	3	2	5
OG0006296	0	1	4	5
OG0006297	0	3	2	5
OG0006298	0	4	1	5
OG0006299	0	5	0	5
OG0006300	0	4	1	5
OG0006301	0	4	1	5
OG0006302	0	5	0	5
OG0006303	0	4	1	5
OG0006304	0	2	3	5
OG0006305	0	2	3	5
OG0006306	0	5	0	5
OG0006307	0	1	4	5
OG0006308	0	2	3	5
OG0006309	0	4	1	5
OG0006310	0	3	2	5
OG0006311	0	2	3	5
OG0006312	0	1	4	5
OG0006313	0	1	4	5
OG0006314	0	5	0	5
OG0006315	0	3	2	5
OG0006316	0	3	2	5
OG0006317	0	1	4	5
OG0006318	0	4	1	5
OG0006319	0	2	3	5
OG0006320	0	5	0	5
OG0006321	0	5	0	5
OG0006322	0	3	2	5
OG0006323	0	3	2	5
OG0006324	0	5	0	5
OG0006325	0	1	4	5
OG0006326	0	2	3	5
OG0006327	0	3	2	5
OG0006328	0	3	2	5
OG0006329	0	4	1	5
OG0006330	0	1	4	5
OG0006331	0	1	4	5
OG0006332	0	1	4	5
OG0006333	0	5	0	5
OG0006334	0	4	1	5
OG0006335	0	3	2	5
OG0006336	0	1	4	5
OG0006337	0	1	4	5
OG0006338	0	4	1	5
OG0006339	0	4	1	5
OG0006340	0	3	2	5
OG0006341	0	1	4	5
OG0006342	0	3	2	5
OG0006343	0	2	3	5
OG0006344	0	3	2	5
OG0006345	0	5	0	5
OG0006346	0	3	2	5
OG0006347	0	3	2	5
OG0006348	0	2	3	5
OG0006349	0	5	0	5
OG0006350	0	1	4	5
OG0006351	0	5	0	5
OG0006352	0	4	1	5
OG0006353	0	3	2	5
OG0006354	0	2	3	5
OG0006355	0	3	2	5
OG0006356	0	2	3	5
OG0006357	0	1	4	5
OG0006358	0	3	2	5
OG0006359	0	4	1	5
OG0006360	0	1	4	5
OG0006361	0	3	2	5
OG0006362	0	1	4	5
OG0006363	0	3	2	5
OG0006364	0	3	2	5
OG0006365	0	3	2	5
OG0006366	0	2	3	5
OG0006367	0	1	4	5
OG0006368	0	2	3	5
OG0006369	0	2	3	5
OG0006370	0	3	2	5
OG0006371	0	1	4	5
OG0006372	0	2	3	5
OG0006373	0	1	4	5
OG0006374	0	2	3	5
OG0006375	0	3	2	5
OG0006376	0	3	2	5
OG0006377	0	3	2	5
OG0006378	0	2	3	5
OG0006379	0	4	1	5
OG0006380	0	2	3	5
OG0006381	0	1	4	5
OG0006382	0	1	4	5
OG0006383	0	1	4	5
OG0006384	0	1	4	5
OG0006385	0	2	3	5
OG0006386	0	2	3	5
OG0006387	0	3	2	5
OG0006388	0	1	4	5
OG0006389	0	3	2	5
OG0006390	0	2	3	5
OG0006391	0	5	0	5
OG0006392	0	4	1	5
OG0006393	0	1	4	5
OG0006394	0	2	3	5
OG0006395	0	2	3	5
OG0006396	0	5	0	5
OG0006397	0	5	0	5
OG0006398	0	2	3	5
OG0006399	0	4	1	5
OG0006400	0	5	0	5
OG0006401	0	1	4	5
OG0006402	0	2	3	5
OG0006403	0	5	0	5
OG0006404	0	2	3	5
OG0006405	0	3	2	5
OG0006406	0	3	2	5
OG0006407	0	1	4	5
OG0006408	0	5	0	5
OG0006409	0	1	4	5
OG0006410	0	1	4	5
OG0006411	0	3	2	5
OG0006412	0	1	4	5
OG0006413	0	1	4	5
OG0006414	0	1	4	5
OG0006415	0	5	0	5
OG0006416	0	4	1	5
OG0006417	0	2	3	5
OG0006418	0	1	4	5
OG0006419	0	1	4	5
OG0006420	0	4	1	5
OG0006421	0	1	4	5
OG0006422	0	5	0	5
OG0006423	0	1	4	5
OG0006424	0	3	2	5
OG0006425	0	2	3	5
OG0006426	0	4	1	5
OG0006427	0	3	2	5
OG0006428	0	2	3	5
OG0006429	0	1	4	5
OG0006430	0	1	4	5
OG0006431	0	1	4	5
OG0006432	0	2	3	5
OG0006433	0	4	1	5
OG0006434	0	3	2	5
OG0006435	0	5	0	5
OG0006436	0	1	4	5
OG0006437	0	2	3	5
OG0006438	0	3	2	5
OG0006439	0	5	0	5
OG0006440	0	4	1	5
OG0006441	0	2	3	5
OG0006442	0	4	1	5
OG0006443	0	3	2	5
OG0006444	0	3	2	5
OG0006445	0	1	4	5
OG0006446	0	4	1	5
OG0006447	0	2	3	5
OG0006448	0	1	4	5
OG0006449	0	1	4	5
OG0006450	0	4	1	5
OG0006451	0	3	2	5
OG0006452	0	4	1	5
OG0006453	0	4	1	5
OG0006454	0	2	3	5
OG0006455	0	4	1	5
OG0006456	0	2	3	5
OG0006457	0	3	2	5
OG0006458	0	2	3	5
OG0006459	0	3	2	5
OG0006460	0	2	3	5
OG0006461	0	3	2	5
OG0006462	0	3	2	5
OG0006463	0	2	3	5
OG0006464	0	4	1	5
OG0006465	0	1	4	5
OG0006466	0	2	3	5
OG0006467	0	2	3	5
OG0006468	0	1	4	5
OG0006469	0	5	0	5
OG0006470	0	1	4	5
OG0006471	0	2	3	5
OG0006472	0	4	1	5
OG0006473	0	2	3	5
OG0006474	0	3	2	5
OG0006475	0	2	3	5
OG0006476	0	1	4	5
OG0006477	0	1	4	5
OG0006478	0	5	0	5
OG0006479	0	3	2	5
OG0006480	0	3	2	5
OG0006481	0	1	4	5
OG0006482	0	2	3	5
OG0006483	0	2	3	5
OG0006484	0	1	4	5
OG0006485	0	1	4	5
OG0006486	0	2	3	5
OG0006487	0	1	4	5
OG0006488	0	1	4	5
OG0006489	0	3	2	5
OG0006490	0	2	3	5
OG0006491	0	3	2	5
OG0006492	0	4	1	5
OG0006493	0	1	4	5
OG0006494	0	2	3	5
OG0006495	0	2	3	5
OG0006496	0	4	1	5
OG0006497	0	2	3	5
OG0006498	0	3	2	5
OG0006499	0	4	1	5
OG0006500	0	2	3	5
OG0006501	0	3	2	5
OG0006502	0	3	2	5
OG0006503	0	1	4	5
OG0006504	0	2	3	5
OG0006505	0	4	1	5
OG0006506	0	1	4	5
OG0006507	0	2	3	5
OG0006508	0	1	4	5
OG0006509	0	3	2	5
OG0006510	0	2	3	5
OG0006511	0	4	1	5
OG0006512	0	2	3	5
OG0006513	0	2	3	5
OG0006514	0	2	3	5
OG0006515	0	1	4	5
OG0006516	0	5	0	5
OG0006517	0	1	4	5
OG0006518	0	2	3	5
OG0006519	0	3	2	5
OG0006520	0	2	3	5
OG0006521	0	3	2	5
OG0006522	0	2	3	5
OG0006523	0	2	3	5
OG0006524	0	1	4	5
OG0006525	0	3	2	5
OG0006526	0	2	3	5
OG0006527	0	1	4	5
OG0006528	0	3	2	5
OG0006529	0	3	2	5
OG0006530	0	5	0	5
OG0006531	0	2	3	5
OG0006532	0	1	4	5
OG0006533	0	1	4	5
OG0006534	0	1	4	5
OG0006535	0	1	4	5
OG0006536	0	2	3	5
OG0006537	0	1	4	5
OG0006538	0	4	1	5
OG0006539	0	1	4	5
OG0006540	0	4	1	5
OG0006541	0	2	3	5
OG0006542	0	3	2	5
OG0006543	0	2	3	5
OG0006544	0	4	1	5
OG0006545	0	2	3	5
OG0006546	0	2	3	5
OG0006547	0	1	4	5
OG0006548	0	2	3	5
OG0006549	0	4	1	5
OG0006550	0	3	2	5
OG0006551	0	2	3	5
OG0006552	0	5	0	5
OG0006553	0	1	4	5
OG0006554	0	1	4	5
OG0006555	0	3	2	5
OG0006556	0	2	3	5
OG0006557	0	1	4	5
OG0006558	0	1	4	5
OG0006559	0	1	4	5
OG0006560	0	2	3	5
OG0006561	0	2	3	5
OG0006562	0	4	1	5
OG0006563	0	4	1	5
OG0006564	0	1	4	5
OG0006565	0	3	2	5
OG0006566	0	2	3	5
OG0006567	0	1	4	5
OG0006568	0	4	1	5
OG0006569	0	3	2	5
OG0006570	0	4	1	5
OG0006571	0	3	2	5
OG0006572	0	1	4	5
OG0006573	0	2	3	5
OG0006574	0	1	4	5
OG0006575	0	2	3	5
OG0006576	0	1	4	5
OG0006577	0	2	3	5
OG0006578	0	1	4	5
OG0006579	0	5	0	5
OG0006580	0	4	1	5
OG0006581	0	3	2	5
OG0006582	0	4	1	5
OG0006583	0	3	2	5
OG0006584	0	2	3	5
OG0006585	0	3	2	5
OG0006586	0	1	4	5
OG0006587	0	4	1	5
OG0006588	0	2	3	5
OG0006589	0	2	3	5
OG0006590	0	2	3	5
OG0006591	0	1	4	5
OG0006592	0	4	1	5
OG0006593	0	1	4	5
OG0006594	0	4	1	5
OG0006595	0	1	4	5
OG0006596	0	3	2	5
OG0006597	0	4	1	5
OG0006598	0	4	1	5
OG0006599	0	2	3	5
OG0006600	0	1	4	5
OG0006601	0	3	2	5
OG0006602	0	2	3	5
OG0006603	0	1	4	5
OG0006604	0	1	4	5
OG0006605	0	1	4	5
OG0006606	0	1	4	5
OG0006607	0	1	4	5
OG0006608	0	2	3	5
OG0006609	0	3	2	5
OG0006610	0	2	3	5
OG0006611	0	2	3	5
OG0006612	0	1	4	5
OG0006613	0	1	4	5
OG0006614	0	3	2	5
OG0006615	0	2	3	5
OG0006616	0	1	4	5
OG0006617	0	4	1	5
OG0006618	0	3	2	5
OG0006619	0	3	2	5
OG0006620	0	2	3	5
OG0006621	0	3	2	5
OG0006622	0	1	4	5
OG0006623	0	4	1	5
OG0006624	0	1	4	5
OG0006625	0	2	3	5
OG0006626	0	1	4	5
OG0006627	0	1	4	5
OG0006628	0	2	3	5
OG0006629	0	2	3	5
OG0006630	0	1	4	5
OG0006631	0	2	3	5
OG0006632	0	1	4	5
OG0006633	0	2	3	5
OG0006634	0	1	4	5
OG0006635	0	3	2	5
OG0006636	0	1	4	5
OG0006637	0	1	4	5
OG0006638	0	2	3	5
OG0006639	0	2	3	5
OG0006640	0	4	1	5
OG0006641	0	2	3	5
OG0006642	0	3	2	5
OG0006643	0	2	3	5
OG0006644	0	2	3	5
OG0006645	0	1	4	5
OG0006646	0	1	4	5
OG0006647	0	3	2	5
OG0006648	0	3	2	5
OG0006649	0	5	0	5
OG0006650	0	1	4	5
OG0006651	0	3	2	5
OG0006652	0	2	3	5
OG0006653	0	3	2	5
OG0006654	0	3	2	5
OG0006655	0	1	4	5
OG0006656	0	4	1	5
OG0006657	0	1	4	5
OG0006658	0	2	3	5
OG0006659	0	1	4	5
OG0006660	0	2	3	5
OG0006661	0	3	2	5
OG0006662	0	1	4	5
OG0006663	0	2	3	5
OG0006664	0	3	2	5
OG0006665	0	2	3	5
OG0006666	0	3	2	5
OG0006667	0	2	3	5
OG0006668	0	3	2	5
OG0006669	0	3	2	5
OG0006670	0	1	4	5
OG0006671	0	2	3	5
OG0006672	0	4	1	5
OG0006673	0	2	3	5
OG0006674	0	1	4	5
OG0006675	0	1	4	5
OG0006676	0	1	4	5
OG0006677	0	1	4	5
OG0006678	0	1	4	5
OG0006679	0	1	4	5
OG0006680	0	3	2	5
OG0006681	0	2	3	5
OG0006682	0	1	4	5
OG0006683	0	1	4	5
OG0006684	0	2	3	5
OG0006685	0	1	4	5
OG0006686	0	3	2	5
OG0006687	0	3	2	5
OG0006688	0	1	4	5
OG0006689	0	2	3	5
OG0006690	0	1	4	5
OG0006691	0	4	1	5
OG0006692	0	3	2	5
OG0006693	0	1	4	5
OG0006694	0	1	4	5
OG0006695	0	1	4	5
OG0006696	0	3	2	5
OG0006697	0	3	2	5
OG0006698	0	1	4	5
OG0006699	0	1	4	5
OG0006700	0	1	4	5
OG0006701	0	3	2	5
OG0006702	0	1	4	5
OG0006703	0	2	3	5
OG0006704	0	4	1	5
OG0006705	0	3	2	5
OG0006706	0	3	2	5
OG0006707	0	3	2	5
OG0006708	0	1	4	5
OG0006709	0	2	3	5
OG0006710	0	1	4	5
OG0006711	0	1	4	5
OG0006712	0	5	0	5
OG0006713	0	1	4	5
OG0006714	0	3	2	5
OG0006715	0	1	4	5
OG0006716	0	1	4	5
OG0006717	0	2	3	5
OG0006718	0	3	2	5
OG0006719	0	2	3	5
OG0006720	0	4	1	5
OG0006721	0	1	4	5
OG0006722	0	5	0	5
OG0006723	0	3	2	5
OG0006724	0	1	4	5
OG0006725	0	5	0	5
OG0006726	0	2	3	5
OG0006727	0	1	4	5
OG0006728	0	1	4	5
OG0006729	0	1	4	5
OG0006730	0	1	4	5
OG0006731	0	1	4	5
OG0006732	0	3	2	5
OG0006733	0	2	3	5
OG0006734	0	2	3	5
OG0006735	0	1	4	5
OG0006736	0	1	4	5
OG0006737	0	1	4	5
OG0006738	0	2	3	5
OG0006739	0	3	2	5
OG0006740	0	2	3	5
OG0006741	0	1	4	5
OG0006742	0	1	4	5
OG0006743	0	1	4	5
OG0006744	0	1	4	5
OG0006745	0	2	3	5
OG0006746	0	1	4	5
OG0006747	0	1	4	5
OG0006748	0	5	0	5
OG0006749	0	2	3	5
OG0006750	0	2	3	5
OG0006751	0	2	3	5
OG0006752	0	2	3	5
OG0006753	0	1	4	5
OG0006754	0	2	3	5
OG0006755	0	2	3	5
OG0006756	0	1	4	5
OG0006757	0	1	4	5
OG0006758	0	1	4	5
OG0006759	0	2	3	5
OG0006760	0	1	4	5
OG0006761	0	1	4	5
OG0006762	0	1	4	5
OG0006763	0	2	3	5
OG0006764	0	2	3	5
OG0006765	0	2	3	5
OG0006766	0	4	1	5
OG0006767	0	2	3	5
OG0006768	0	1	4	5
OG0006769	0	2	3	5
OG0006770	0	0	5	5
OG0006771	0	0	5	5
OG0006772	0	0	5	5
OG0006773	0	0	5	5
OG0006774	0	0	5	5
OG0006775	0	0	5	5
OG0006776	0	0	5	5
OG0006777	0	0	5	5
OG0006778	0	0	5	5
OG0006779	0	0	5	5
OG0006780	0	0	5	5
OG0006781	0	0	5	5
OG0006782	0	0	5	5
OG0006783	0	0	5	5
OG0006784	0	0	5	5
OG0006785	0	0	5	5
OG0006786	0	0	5	5
OG0006787	0	0	5	5
OG0006788	0	0	5	5
OG0006789	0	0	5	5
OG0006790	0	0	5	5
OG0006791	0	0	5	5
OG0006792	0	0	5	5
OG0006793	0	0	5	5
OG0006794	0	0	5	5
OG0006795	0	0	5	5
OG0006796	0	0	5	5
OG0006797	0	0	5	5
OG0006798	0	0	5	5
OG0006799	0	0	5	5
OG0006800	0	0	5	5
OG0006801	0	0	5	5
OG0006802	0	0	5	5
OG0006803	0	0	5	5
OG0006804	0	0	5	5
OG0006805	0	0	5	5
OG0006806	0	0	5	5
OG0006807	0	0	5	5
OG0006808	0	0	5	5
OG0006809	0	0	5	5
OG0006810	0	0	5	5
OG0006811	0	0	5	5
OG0006812	0	0	5	5
OG0006813	0	0	5	5
OG0006814	0	0	5	5
OG0006815	0	0	5	5
OG0006816	0	0	5	5
OG0006817	0	0	5	5
OG0006818	0	0	5	5
OG0006819	0	0	5	5
OG0006820	0	0	5	5
OG0006821	0	0	5	5
OG0006822	0	0	5	5
OG0006823	0	0	5	5
OG0006824	0	0	5	5
OG0006825	0	0	5	5
OG0006826	0	0	5	5
OG0006827	0	0	5	5
OG0006828	0	0	5	5
OG0006829	0	0	5	5
OG0006830	0	0	5	5
OG0006831	0	0	5	5
OG0006832	0	0	5	5
OG0006833	0	0	5	5
OG0006834	0	0	5	5
OG0006835	0	0	5	5
OG0006836	0	0	5	5
OG0006837	0	0	5	5
OG0006838	0	0	5	5
OG0006839	0	0	5	5
OG0006840	0	0	5	5
OG0006841	0	0	5	5
OG0006842	0	0	5	5
OG0006843	0	0	5	5
OG0006844	0	0	5	5
OG0006845	0	0	5	5
OG0006846	0	0	5	5
OG0006847	0	0	5	5
OG0006848	0	0	5	5
OG0006849	0	0	5	5
OG0006850	4	0	0	4
OG0006851	4	0	0	4
OG0006852	2	1	1	4
OG0006853	3	0	1	4
OG0006854	4	0	0	4
OG0006855	2	1	1	4
OG0006856	2	1	1	4
OG0006857	1	2	1	4
OG0006858	2	1	1	4
OG0006859	2	1	1	4
OG0006860	2	1	1	4
OG0006861	2	1	1	4
OG0006862	2	1	1	4
OG0006863	2	1	1	4
OG0006864	3	1	0	4
OG0006865	2	1	1	4
OG0006866	2	1	1	4
OG0006867	1	2	1	4
OG0006868	1	2	1	4
OG0006869	2	1	1	4
OG0006870	2	1	1	4
OG0006871	1	2	1	4
OG0006872	1	2	1	4
OG0006873	2	1	1	4
OG0006874	2	1	1	4
OG0006875	2	1	1	4
OG0006876	1	2	1	4
OG0006877	1	1	2	4
OG0006878	2	1	1	4
OG0006879	1	2	1	4
OG0006880	2	1	1	4
OG0006881	2	1	1	4
OG0006882	4	0	0	4
OG0006883	2	1	1	4
OG0006884	1	1	2	4
OG0006885	2	1	1	4
OG0006886	1	1	2	4
OG0006887	2	1	1	4
OG0006888	1	2	1	4
OG0006889	2	1	1	4
OG0006890	2	1	1	4
OG0006891	2	1	1	4
OG0006892	2	1	1	4
OG0006893	1	1	2	4
OG0006894	1	2	1	4
OG0006895	2	1	1	4
OG0006896	4	0	0	4
OG0006897	2	1	1	4
OG0006898	2	1	1	4
OG0006899	1	2	1	4
OG0006900	2	1	1	4
OG0006901	2	1	1	4
OG0006902	2	1	1	4
OG0006903	4	0	0	4
OG0006904	2	1	1	4
OG0006905	1	1	2	4
OG0006906	2	1	1	4
OG0006907	4	0	0	4
OG0006908	2	1	1	4
OG0006909	4	0	0	4
OG0006910	1	2	1	4
OG0006911	2	1	1	4
OG0006912	2	1	1	4
OG0006913	2	1	1	4
OG0006914	2	1	1	4
OG0006915	1	1	2	4
OG0006916	4	0	0	4
OG0006917	2	1	1	4
OG0006918	2	1	1	4
OG0006919	1	1	2	4
OG0006920	2	1	1	4
OG0006921	1	1	2	4
OG0006922	1	1	2	4
OG0006923	2	1	1	4
OG0006924	1	1	2	4
OG0006925	2	1	1	4
OG0006926	2	1	1	4
OG0006927	2	1	1	4
OG0006928	1	2	1	4
OG0006929	4	0	0	4
OG0006930	2	1	1	4
OG0006931	2	1	1	4
OG0006932	4	0	0	4
OG0006933	2	1	1	4
OG0006934	2	1	1	4
OG0006935	2	1	1	4
OG0006936	2	1	1	4
OG0006937	2	1	1	4
OG0006938	4	0	0	4
OG0006939	1	1	2	4
OG0006940	2	1	1	4
OG0006941	1	1	2	4
OG0006942	2	1	1	4
OG0006943	2	1	1	4
OG0006944	2	1	1	4
OG0006945	2	1	1	4
OG0006946	2	1	1	4
OG0006947	2	1	1	4
OG0006948	2	1	1	4
OG0006949	2	1	1	4
OG0006950	2	1	1	4
OG0006951	1	1	2	4
OG0006952	2	1	1	4
OG0006953	2	1	1	4
OG0006954	1	1	2	4
OG0006955	2	1	1	4
OG0006956	2	1	1	4
OG0006957	2	1	1	4
OG0006958	2	1	1	4
OG0006959	2	1	1	4
OG0006960	1	2	1	4
OG0006961	4	0	0	4
OG0006962	2	1	1	4
OG0006963	2	1	1	4
OG0006964	2	1	1	4
OG0006965	2	1	1	4
OG0006966	1	1	2	4
OG0006967	2	1	1	4
OG0006968	2	1	1	4
OG0006969	4	0	0	4
OG0006970	4	0	0	4
OG0006971	2	1	1	4
OG0006972	1	1	2	4
OG0006973	2	1	1	4
OG0006974	2	1	1	4
OG0006975	4	0	0	4
OG0006976	1	2	1	4
OG0006977	1	2	1	4
OG0006978	2	1	1	4
OG0006979	1	1	2	4
OG0006980	2	1	1	4
OG0006981	2	1	1	4
OG0006982	2	1	1	4
OG0006983	1	1	2	4
OG0006984	2	1	1	4
OG0006985	2	1	1	4
OG0006986	2	1	1	4
OG0006987	1	2	1	4
OG0006988	1	1	2	4
OG0006989	2	1	1	4
OG0006990	2	1	1	4
OG0006991	1	2	1	4
OG0006992	2	1	1	4
OG0006993	2	1	1	4
OG0006994	2	1	1	4
OG0006995	1	1	2	4
OG0006996	2	1	1	4
OG0006997	2	1	1	4
OG0006998	2	1	1	4
OG0006999	1	1	2	4
OG0007000	3	1	0	4
OG0007001	1	1	2	4
OG0007002	2	1	1	4
OG0007003	1	2	1	4
OG0007004	2	1	1	4
OG0007005	2	1	1	4
OG0007006	2	1	1	4
OG0007007	2	1	1	4
OG0007008	1	2	1	4
OG0007009	1	1	2	4
OG0007010	2	1	1	4
OG0007011	4	0	0	4
OG0007012	4	0	0	4
OG0007013	1	2	1	4
OG0007014	2	1	1	4
OG0007015	2	1	1	4
OG0007016	2	1	1	4
OG0007017	4	0	0	4
OG0007018	2	1	1	4
OG0007019	2	1	1	4
OG0007020	1	1	2	4
OG0007021	2	1	1	4
OG0007022	1	1	2	4
OG0007023	2	1	1	4
OG0007024	2	1	1	4
OG0007025	2	1	1	4
OG0007026	4	0	0	4
OG0007027	2	1	1	4
OG0007028	2	1	1	4
OG0007029	2	1	1	4
OG0007030	1	1	2	4
OG0007031	1	1	2	4
OG0007032	2	1	1	4
OG0007033	2	1	1	4
OG0007034	1	1	2	4
OG0007035	2	1	1	4
OG0007036	2	1	1	4
OG0007037	2	1	1	4
OG0007038	2	1	1	4
OG0007039	1	1	2	4
OG0007040	1	1	2	4
OG0007041	2	1	1	4
OG0007042	2	1	1	4
OG0007043	1	2	1	4
OG0007044	2	1	1	4
OG0007045	1	2	1	4
OG0007046	1	1	2	4
OG0007047	2	1	1	4
OG0007048	2	1	1	4
OG0007049	4	0	0	4
OG0007050	1	2	1	4
OG0007051	2	1	1	4
OG0007052	4	0	0	4
OG0007053	2	1	1	4
OG0007054	1	1	2	4
OG0007055	2	1	1	4
OG0007056	2	1	1	4
OG0007057	1	1	2	4
OG0007058	1	2	1	4
OG0007059	2	1	1	4
OG0007060	2	1	1	4
OG0007061	1	1	2	4
OG0007062	2	1	1	4
OG0007063	1	2	1	4
OG0007064	2	1	1	4
OG0007065	1	1	2	4
OG0007066	2	1	1	4
OG0007067	1	2	1	4
OG0007068	2	1	1	4
OG0007069	2	1	1	4
OG0007070	2	1	1	4
OG0007071	2	1	1	4
OG0007072	2	1	1	4
OG0007073	1	2	1	4
OG0007074	2	1	1	4
OG0007075	4	0	0	4
OG0007076	1	1	2	4
OG0007077	2	1	1	4
OG0007078	1	1	2	4
OG0007079	1	2	1	4
OG0007080	2	1	1	4
OG0007081	1	1	2	4
OG0007082	1	1	2	4
OG0007083	1	2	1	4
OG0007084	2	1	1	4
OG0007085	1	2	1	4
OG0007086	1	2	1	4
OG0007087	2	1	1	4
OG0007088	1	1	2	4
OG0007089	2	1	1	4
OG0007090	2	1	1	4
OG0007091	2	1	1	4
OG0007092	4	0	0	4
OG0007093	1	1	2	4
OG0007094	1	1	2	4
OG0007095	1	2	1	4
OG0007096	2	1	1	4
OG0007097	2	1	1	4
OG0007098	2	1	1	4
OG0007099	2	1	1	4
OG0007100	2	1	1	4
OG0007101	2	1	1	4
OG0007102	4	0	0	4
OG0007103	2	1	1	4
OG0007104	2	1	1	4
OG0007105	2	1	1	4
OG0007106	4	0	0	4
OG0007107	2	1	1	4
OG0007108	2	1	1	4
OG0007109	2	1	1	4
OG0007110	1	2	1	4
OG0007111	2	1	1	4
OG0007112	2	1	1	4
OG0007113	2	1	1	4
OG0007114	4	0	0	4
OG0007115	2	1	1	4
OG0007116	2	1	1	4
